"HEXuid_HEXidu","SumPop_2016_SommePop","SumURD_2016_SommeRH","SumTD_2016_SommeTL","Avail_5_1_75PctPlus_Dispo","Avail_50_10_Gradient_Dispo"
"BC49541238","<5","<5","<5","T","0"
"BC49541240","251-500","101-250","251-500","T",">75% -  100%"
"BC49541242","5-25","<5","<5","F","0"
"BC49541243","<5","<5","<5","F","0"
"BC49541247","251-500","101-250","251-500","F",">0% - 25%"
"BC49541248","251-500","101-250","251-500","T",">0% - 25%"
"BC49541249","NA","NA","NA","F","0"
"BC49541252","NA","NA","NA","F","0"
"BC49541253","NA","NA","NA","F","0"
"BC49561150","101-250","101-250","101-250","T",">75% -  100%"
"BC49561151","NA","NA","NA","F","0"
"BC49561156","<5","<5","<5","F","0"
"BC49561157","NA","NA","NA","F","0"
"BC49561158","251-500","101-250","101-250","T",">25% - 50%"
"BC49561159","26-50","5-25","5-25","F","0"
"BC49561161","NA","NA","NA","F","0"
"BC49561163","NA","NA","NA","F","0"
"BC49561164","NA","NA","NA","F","0"
"BC49561167","NA","NA","NA","F","0"
"BC49561168","5-25","5-25","26-50","T","0"
"BC49561169","NA","NA","NA","F","0"
"BC49561173","501+","251-500","251-500","T",">75% -  100%"
"BC49561176","101-250","51-100","51-100","F","0"
"BC49561177","5-25","5-25","5-25","T","0"
"BC49561183","NA","NA","NA","F","0"
"BC49561187","NA","NA","NA","F","0"
"BC49561188","<5","<5","<5","F","0"
"BC49561191","<5","<5","<5","F","0"
"BC49561192","NA","NA","NA","F","0"
"BC49561193","NA","NA","NA","F","0"
"BC49561194","NA","NA","NA","F","0"
"BC49561196","501+","101-250","101-250","T",">75% -  100%"
"BC49561197","501+","501+","501+","T",">75% -  100%"
"BC49561198","NA","NA","NA","F","0"
"BC49561199","NA","NA","NA","F","0"
"BC49561200","NA","NA","NA","F","0"
"BC49561202","NA","NA","NA","F","0"
"BC49561204","5-25","5-25","5-25","F","0"
"BC49561205","5-25","5-25","5-25","F","0"
"BC49561206","NA","NA","NA","F","0"
"BC49561208","101-250","101-250","251-500","F","0"
"BC49561209","NA","NA","NA","F","0"
"BC49561210","NA","NA","NA","F","0"
"BC49561211","NA","NA","NA","F","0"
"BC49561214","NA","NA","NA","F","0"
"BC49561215","<5","<5","<5","T","0"
"BC49561217","NA","NA","NA","F","0"
"BC49561218","NA","NA","NA","F","0"
"BC49561229","<5","-","-","F","0"
"BC49561232","NA","NA","NA","F","0"
"BC49561234","<5","<5","<5","F","0"
"BC49561238","101-250","51-100","101-250","T",">75% -  100%"
"BC49561239","5-25","<5","<5","F","0"
"BC49561240","51-100","26-50","51-100","F",">0% - 25%"
"BC49561241","<5","<5","<5","F","0"
"BC49561243","5-25","5-25","5-25","F","0"
"BC49561246","5-25","5-25","26-50","F","0"
"BC49561247","51-100","26-50","51-100","F","0"
"BC49561249","251-500","101-250","101-250","F",">50% - 75%"
"BC49561250","NA","NA","NA","F","0"
"BC49561252","NA","NA","NA","F","0"
"BC49591148","NA","NA","NA","F","0"
"BC49591149","NA","NA","NA","F","0"
"BC49591150","<5","<5","<5","T","0"
"BC49591155","<5","<5","<5","F","0"
"BC49591156","51-100","26-50","51-100","T","0"
"BC49591158","101-250","26-50","26-50","T",">25% - 50%"
"BC49591159","251-500","101-250","101-250","F",">0% - 25%"
"BC49591160","NA","NA","NA","F","0"
"BC49591161","NA","NA","NA","F","0"
"BC49591162","NA","NA","NA","F","0"
"BC49591164","NA","NA","NA","F","0"
"BC49591166","NA","NA","NA","F","0"
"BC49591170","5-25","<5","<5","T",">75% -  100%"
"BC49591171","51-100","26-50","51-100","T",">75% -  100%"
"BC49591172","501+","251-500","501+","T",">75% -  100%"
"BC49591176","251-500","101-250","101-250","T",">0% - 25%"
"BC49591177","5-25","<5","<5","T","0"
"BC49591178","NA","NA","NA","F","0"
"BC49591182","NA","NA","NA","F","0"
"BC49591183","NA","NA","NA","F","0"
"BC49591188","5-25","<5","5-25","F","0"
"BC49591189","NA","NA","NA","F","0"
"BC49591190","NA","NA","NA","F","0"
"BC49591193","NA","NA","NA","F","0"
"BC49591195","NA","NA","NA","F","0"
"BC49591196","501+","501+","501+","T",">75% -  100%"
"BC49591197","501+","101-250","101-250","T",">75% -  100%"
"BC49591199","<5","<5","<5","F","0"
"BC49591200","NA","NA","NA","F","0"
"BC49591206","<5","<5","<5","F","0"
"BC49591209","NA","NA","NA","F","0"
"BC49591211","NA","NA","NA","F","0"
"BC49591212","NA","NA","NA","F","0"
"BC49591214","101-250","51-100","51-100","T",">75% -  100%"
"BC49591218","NA","NA","NA","F","0"
"BC49591219","NA","NA","NA","F","0"
"BC49591229","5-25","-","-","F","0"
"BC49591231","NA","NA","NA","F","0"
"BC49591232","251-500","101-250","101-250","T",">50% - 75%"
"BC49591235","NA","NA","NA","F","0"
"BC49591241","5-25","5-25","5-25","T",">75% -  100%"
"BC49591242","<5","<5","<5","F","0"
"BC49591243","5-25","<5","<5","F","0"
"BC49591248","26-50","5-25","5-25","F","0"
"BC49591249","501+","251-500","251-500","T",">75% -  100%"
"BC49591250","-","<5","<5","F","0"
"BC49591252","NA","NA","NA","F","0"
"BC49591253","NA","NA","NA","F","0"
"BC49591266","5-25","<5","<5","F","0"
"BC49611149","NA","NA","NA","F","0"
"BC49611150","101-250","51-100","51-100","T",">75% -  100%"
"BC49611151","NA","NA","NA","F","0"
"BC49611152","NA","NA","NA","F","0"
"BC49611153","NA","NA","NA","F","0"
"BC49611156","51-100","5-25","26-50","F","0"
"BC49611157","51-100","26-50","26-50","T","0"
"BC49611158","251-500","101-250","101-250","T","0"
"BC49611159","501+","251-500","251-500","T",">75% -  100%"
"BC49611161","5-25","5-25","5-25","F","0"
"BC49611162","26-50","5-25","26-50","F","0"
"BC49611163","<5","<5","<5","F","0"
"BC49611165","NA","NA","NA","F","0"
"BC49611167","NA","NA","NA","F","0"
"BC49611168","101-250","51-100","101-250","F","0"
"BC49611170","501+","251-500","251-500","T",">75% -  100%"
"BC49611171","251-500","101-250","251-500","T",">75% -  100%"
"BC49611173","NA","NA","NA","F","0"
"BC49611175","5-25","5-25","5-25","T","0"
"BC49611176","5-25","<5","5-25","T","0"
"BC49611177","NA","NA","NA","F","0"
"BC49611179","NA","NA","NA","F","0"
"BC49611182","NA","NA","NA","F","0"
"BC49611183","NA","NA","NA","F","0"
"BC49611188","NA","NA","NA","F","0"
"BC49611190","NA","NA","NA","F","0"
"BC49611191","NA","NA","NA","F","0"
"BC49611192","NA","NA","NA","F","0"
"BC49611193","NA","NA","NA","F","0"
"BC49611194","NA","NA","NA","F","0"
"BC49611196","251-500","101-250","101-250","T",">75% -  100%"
"BC49611197","501+","501+","501+","T",">75% -  100%"
"BC49611198","251-500","101-250","101-250","T",">75% -  100%"
"BC49611199","NA","NA","NA","F","0"
"BC49611204","5-25","5-25","5-25","F","0"
"BC49611205","<5","<5","<5","F","0"
"BC49611206","NA","NA","NA","F","0"
"BC49611208","5-25","<5","5-25","F","0"
"BC49611209","NA","NA","NA","F","0"
"BC49611210","NA","NA","NA","F","0"
"BC49611211","NA","NA","NA","F","0"
"BC49611212","NA","NA","NA","F","0"
"BC49611218","NA","NA","NA","F","0"
"BC49611220","NA","NA","NA","F","0"
"BC49611229","NA","NA","NA","F","0"
"BC49611232","51-100","26-50","26-50","T",">75% -  100%"
"BC49611234","NA","NA","NA","F","0"
"BC49611239","NA","NA","NA","F","0"
"BC49611240","501+","501+","501+","T",">75% -  100%"
"BC49611243","<5","<5","<5","F","0"
"BC49611244","5-25","5-25","5-25","F","0"
"BC49611249","5-25","5-25","5-25","F","0"
"BC49611250","251-500","101-250","101-250","T",">75% -  100%"
"BC49611251","5-25","5-25","5-25","F",">0% - 25%"
"BC49611252","NA","NA","NA","F","0"
"BC49611261","NA","NA","NA","F","0"
"BC49641147","5-25","<5","<5","T","0"
"BC49641149","NA","NA","NA","F","0"
"BC49641153","NA","NA","NA","F","0"
"BC49641154","NA","NA","NA","F","0"
"BC49641156","51-100","26-50","26-50","F","0"
"BC49641158","5-25","<5","5-25","T","0"
"BC49641159","51-100","26-50","26-50","T","0"
"BC49641160","501+","251-500","501+","T",">50% - 75%"
"BC49641161","5-25","5-25","5-25","F","0"
"BC49641162","<5","<5","<5","F","0"
"BC49641164","NA","NA","NA","F","0"
"BC49641165","NA","NA","NA","F","0"
"BC49641166","NA","NA","NA","F","0"
"BC49641167","NA","NA","NA","F","0"
"BC49641168","5-25","5-25","5-25","F","0"
"BC49641170","501+","251-500","501+","T",">75% -  100%"
"BC49641171","101-250","26-50","51-100","T",">75% -  100%"
"BC49641172","NA","NA","NA","F","0"
"BC49641174","NA","NA","NA","F","0"
"BC49641176","251-500","101-250","101-250","T",">0% - 25%"
"BC49641177","NA","NA","NA","F","0"
"BC49641178","NA","NA","NA","F","0"
"BC49641179","NA","NA","NA","F","0"
"BC49641182","NA","NA","NA","F","0"
"BC49641183","NA","NA","NA","F","0"
"BC49641188","5-25","<5","5-25","F","0"
"BC49641189","NA","NA","NA","F","0"
"BC49641190","NA","NA","NA","F","0"
"BC49641194","NA","NA","NA","F","0"
"BC49641196","101-250","26-50","51-100","T",">75% -  100%"
"BC49641197","101-250","51-100","51-100","T",">75% -  100%"
"BC49641199","NA","NA","NA","F","0"
"BC49641200","NA","NA","NA","F","0"
"BC49641202","NA","NA","NA","F","0"
"BC49641203","26-50","5-25","51-100","F","0"
"BC49641205","NA","NA","NA","F","0"
"BC49641206","<5","<5","<5","F","0"
"BC49641207","NA","NA","NA","F","0"
"BC49641208","<5","<5","<5","F","0"
"BC49641209","NA","NA","NA","F","0"
"BC49641211","NA","NA","NA","F","0"
"BC49641214","26-50","5-25","5-25","F","0"
"BC49641218","NA","NA","NA","F","0"
"BC49641226","NA","NA","NA","F","0"
"BC49641232","251-500","101-250","101-250","T",">75% -  100%"
"BC49641240","101-250","51-100","101-250","T",">75% -  100%"
"BC49641241","501+","251-500","251-500","T",">75% -  100%"
"BC49641243","5-25","5-25","5-25","F","0"
"BC49641244","51-100","26-50","26-50","F","0"
"BC49641249","501+","501+","501+","T",">75% -  100%"
"BC49641250","501+","501+","501+","T",">75% -  100%"
"BC49641252","101-250","51-100","51-100","F","0"
"BC49641253","NA","NA","NA","F","0"
"BC49641265","NA","NA","NA","F","0"
"BC49641266","<5","<5","<5","F","0"
"BC49671147","NA","NA","NA","F","0"
"BC49671149","NA","NA","NA","F","0"
"BC49671150","NA","NA","NA","F","0"
"BC49671153","NA","NA","NA","F","0"
"BC49671156","NA","NA","NA","F","0"
"BC49671157","5-25","5-25","5-25","T","0"
"BC49671158","5-25","5-25","5-25","T","0"
"BC49671159","501+","501+","501+","T",">75% -  100%"
"BC49671161","5-25","5-25","5-25","F","0"
"BC49671163","NA","NA","NA","F","0"
"BC49671164","NA","NA","NA","F","0"
"BC49671165","NA","NA","NA","F","0"
"BC49671168","51-100","26-50","26-50","T","0"
"BC49671169","101-250","51-100","101-250","T",">25% - 50%"
"BC49671170","NA","NA","NA","F","0"
"BC49671171","NA","NA","NA","F","0"
"BC49671173","NA","NA","NA","F","0"
"BC49671174","-","-","<5","T","0"
"BC49671175","251-500","101-250","101-250","T",">0% - 25%"
"BC49671176","NA","NA","NA","F","0"
"BC49671177","NA","NA","NA","F","0"
"BC49671179","NA","NA","NA","F","0"
"BC49671182","NA","NA","NA","F","0"
"BC49671183","NA","NA","NA","F","0"
"BC49671188","NA","NA","NA","F","0"
"BC49671190","NA","NA","NA","F","0"
"BC49671191","<5","<5","<5","F","0"
"BC49671193","NA","NA","NA","F","0"
"BC49671196","<5","<5","<5","F","0"
"BC49671197","26-50","5-25","26-50","F",">0% - 25%"
"BC49671198","51-100","5-25","26-50","F",">50% - 75%"
"BC49671199","NA","NA","NA","F","0"
"BC49671203","5-25","<5","5-25","F","0"
"BC49671205","<5","<5","<5","F","0"
"BC49671206","5-25","<5","5-25","F","0"
"BC49671208","<5","<5","<5","F","0"
"BC49671209","NA","NA","NA","F","0"
"BC49671210","-","-","5-25","F","0"
"BC49671215","NA","NA","NA","F","0"
"BC49671218","NA","NA","NA","F","0"
"BC49671220","NA","NA","NA","F","0"
"BC49671230","NA","NA","NA","F","0"
"BC49671232","51-100","5-25","5-25","T",">50% - 75%"
"BC49671234","NA","NA","NA","F","0"
"BC49671235","NA","NA","NA","F","0"
"BC49671239","NA","NA","NA","F","0"
"BC49671240","101-250","51-100","251-500","F",">25% - 50%"
"BC49671244","5-25","5-25","5-25","F","0"
"BC49671245","251-500","101-250","251-500","T",">0% - 25%"
"BC49671249","251-500","101-250","101-250","T",">75% -  100%"
"BC49671250","501+","501+","501+","T",">75% -  100%"
"BC49671251","51-100","5-25","26-50","F","0"
"BC49671253","NA","NA","NA","F","0"
"BC49671268","NA","NA","NA","F","0"
"BC49691148","NA","NA","NA","F","0"
"BC49691149","<5","<5","<5","T",">75% -  100%"
"BC49691154","NA","NA","NA","F","0"
"BC49691155","NA","NA","NA","F","0"
"BC49691156","5-25","5-25","5-25","F","0"
"BC49691158","26-50","5-25","5-25","T","0"
"BC49691159","101-250","51-100","51-100","T","0"
"BC49691160","501+","501+","501+","T",">75% -  100%"
"BC49691164","NA","NA","NA","F","0"
"BC49691165","NA","NA","NA","F","0"
"BC49691167","NA","NA","NA","F","0"
"BC49691168","251-500","101-250","101-250","F","0"
"BC49691170","NA","NA","NA","F","0"
"BC49691173","-","-","<5","T","0"
"BC49691174","5-25","5-25","5-25","T","0"
"BC49691176","NA","NA","NA","F","0"
"BC49691177","NA","NA","NA","F","0"
"BC49691179","NA","NA","NA","F","0"
"BC49691183","NA","NA","NA","F","0"
"BC49691188","NA","NA","NA","F","0"
"BC49691189","NA","NA","NA","F","0"
"BC49691190","-","-","<5","F","0"
"BC49691191","NA","NA","NA","F","0"
"BC49691193","NA","NA","NA","F","0"
"BC49691196","<5","<5","<5","T","0"
"BC49691197","5-25","5-25","5-25","F",">0% - 25%"
"BC49691199","5-25","<5","<5","F","0"
"BC49691200","NA","NA","NA","F","0"
"BC49691201","NA","NA","NA","F","0"
"BC49691202","101-250","51-100","101-250","F","0"
"BC49691203","51-100","5-25","51-100","F","0"
"BC49691205","NA","NA","NA","F","0"
"BC49691206","101-250","51-100","101-250","F","0"
"BC49691207","NA","NA","NA","F","0"
"BC49691208","NA","NA","NA","F","0"
"BC49691214","5-25","5-25","5-25","F",">50% - 75%"
"BC49691215","NA","NA","NA","F","0"
"BC49691217","NA","NA","NA","F","0"
"BC49691220","NA","NA","NA","F","0"
"BC49691221","NA","NA","NA","F","0"
"BC49691230","NA","NA","NA","F","0"
"BC49691231","501+","501+","501+","T",">75% -  100%"
"BC49691232","NA","NA","NA","F","0"
"BC49691235","NA","NA","NA","F","0"
"BC49691240","26-50","5-25","51-100","F","0"
"BC49691244","51-100","26-50","26-50","F","0"
"BC49691246","5-25","<5","5-25","F","0"
"BC49691249","501+","501+","501+","T",">75% -  100%"
"BC49691250","501+","501+","501+","T",">75% -  100%"
"BC49691252","NA","NA","NA","F","0"
"BC49691261","NA","NA","NA","F","0"
"BC49721147","NA","NA","NA","F","0"
"BC49721149","251-500","101-250","101-250","T",">75% -  100%"
"BC49721150","NA","NA","NA","F","0"
"BC49721153","NA","NA","NA","F","0"
"BC49721156","NA","NA","NA","F","0"
"BC49721157","<5","<5","<5","T","0"
"BC49721158","5-25","5-25","5-25","T","0"
"BC49721159","251-500","101-250","101-250","T",">25% - 50%"
"BC49721161","5-25","5-25","26-50","F","0"
"BC49721164","NA","NA","NA","F","0"
"BC49721167","NA","NA","NA","F","0"
"BC49721168","26-50","5-25","26-50","T","0"
"BC49721169","51-100","26-50","51-100","T",">50% - 75%"
"BC49721171","NA","NA","NA","F","0"
"BC49721173","NA","NA","NA","F","0"
"BC49721174","NA","NA","NA","F","0"
"BC49721175","101-250","51-100","51-100","T",">0% - 25%"
"BC49721176","NA","NA","NA","F","0"
"BC49721177","NA","NA","NA","F","0"
"BC49721180","NA","NA","NA","F","0"
"BC49721183","NA","NA","NA","F","0"
"BC49721188","NA","NA","NA","F","0"
"BC49721190","251-500","101-250","501+","T",">75% -  100%"
"BC49721191","NA","NA","NA","F","0"
"BC49721192","51-100","26-50","51-100","T",">75% -  100%"
"BC49721193","NA","NA","NA","F","0"
"BC49721196","<5","<5","<5","F","0"
"BC49721198","26-50","5-25","26-50","T",">75% -  100%"
"BC49721199","NA","NA","NA","F","0"
"BC49721200","<5","<5","<5","F","0"
"BC49721202","5-25","<5","5-25","F","0"
"BC49721203","5-25","5-25","5-25","F","0"
"BC49721204","NA","NA","NA","F","0"
"BC49721205","<5","<5","<5","F","0"
"BC49721206","<5","<5","<5","F","0"
"BC49721208","NA","NA","NA","F","0"
"BC49721209","NA","NA","NA","F","0"
"BC49721210","NA","NA","NA","F","0"
"BC49721216","NA","NA","NA","F","0"
"BC49721218","NA","NA","NA","F","0"
"BC49721221","NA","NA","NA","F","0"
"BC49721222","NA","NA","NA","F","0"
"BC49721229","NA","NA","NA","F","0"
"BC49721230","5-25","<5","<5","F","0"
"BC49721232","501+","501+","501+","T",">75% -  100%"
"BC49721239","-","<5","<5","F","0"
"BC49721240","<5","<5","<5","F","0"
"BC49721241","NA","NA","NA","F","0"
"BC49721245","101-250","51-100","51-100","T","0"
"BC49721246","<5","<5","<5","F","0"
"BC49721249","251-500","101-250","101-250","T",">75% -  100%"
"BC49721250","501+","501+","501+","T",">75% -  100%"
"BC49721251","101-250","51-100","51-100","F","0"
"BC49721252","NA","NA","NA","F","0"
"BC49721259","NA","NA","NA","F","0"
"BC49721261","NA","NA","NA","F","0"
"BC49721267","<5","<5","<5","F","0"
"BC49741149","501+","501+","501+","T",">75% -  100%"
"BC49741150","NA","NA","NA","F","0"
"BC49741155","NA","NA","NA","F","0"
"BC49741156","NA","NA","NA","F","0"
"BC49741158","26-50","5-25","26-50","T",">75% -  100%"
"BC49741159","NA","NA","NA","F","0"
"BC49741160","5-25","5-25","5-25","F","0"
"BC49741164","NA","NA","NA","F","0"
"BC49741165","NA","NA","NA","F","0"
"BC49741166","NA","NA","NA","F","0"
"BC49741167","NA","NA","NA","F","0"
"BC49741168","251-500","101-250","101-250","T","0"
"BC49741170","NA","NA","NA","F","0"
"BC49741173","NA","NA","NA","F","0"
"BC49741174","251-500","101-250","101-250","T",">25% - 50%"
"BC49741178","NA","NA","NA","F","0"
"BC49741179","NA","NA","NA","F","0"
"BC49741180","NA","NA","NA","F","0"
"BC49741182","NA","NA","NA","F","0"
"BC49741183","NA","NA","NA","F","0"
"BC49741188","NA","NA","NA","F","0"
"BC49741191","5-25","<5","<5","F","0"
"BC49741193","NA","NA","NA","F","0"
"BC49741197","501+","501+","501+","T",">75% -  100%"
"BC49741199","NA","NA","NA","F","0"
"BC49741200","NA","NA","NA","F","0"
"BC49741201","NA","NA","NA","F","0"
"BC49741202","5-25","5-25","5-25","F","0"
"BC49741203","NA","NA","NA","F","0"
"BC49741205","NA","NA","NA","F","0"
"BC49741206","<5","<5","<5","F","0"
"BC49741207","NA","NA","NA","F","0"
"BC49741208","NA","NA","NA","F","0"
"BC49741209","NA","NA","NA","F","0"
"BC49741211","NA","NA","NA","F","0"
"BC49741214","<5","<5","<5","F","0"
"BC49741221","5-25","<5","<5","F","0"
"BC49741230","26-50","5-25","26-50","F","0"
"BC49741231","501+","501+","501+","T",">75% -  100%"
"BC49741237","NA","NA","NA","F","0"
"BC49741238","5-25","<5","5-25","F","0"
"BC49741240","51-100","26-50","51-100","F","0"
"BC49741242","26-50","26-50","101-250","F","0"
"BC49741243","101-250","51-100","51-100","T",">75% -  100%"
"BC49741244","<5","<5","<5","F","0"
"BC49741246","251-500","101-250","101-250","T",">0% - 25%"
"BC49741249","501+","501+","501+","T",">75% -  100%"
"BC49741250","501+","251-500","251-500","T",">50% - 75%"
"BC49741252","NA","NA","NA","F","0"
"BC49741253","51-100","26-50","501+","T",">75% -  100%"
"BC49741254","NA","NA","NA","F","0"
"BC49771147","NA","NA","NA","F","0"
"BC49771149","26-50","5-25","5-25","T",">75% -  100%"
"BC49771150","NA","NA","NA","F","0"
"BC49771157","51-100","26-50","51-100","T",">75% -  100%"
"BC49771158","101-250","26-50","51-100","T","0"
"BC49771159","NA","NA","NA","F","0"
"BC49771163","NA","NA","NA","F","0"
"BC49771164","NA","NA","NA","F","0"
"BC49771165","NA","NA","NA","F","0"
"BC49771167","NA","NA","NA","F","0"
"BC49771169","26-50","26-50","26-50","F","0"
"BC49771171","NA","NA","NA","F","0"
"BC49771173","NA","NA","NA","F","0"
"BC49771174","NA","NA","NA","F","0"
"BC49771175","101-250","51-100","101-250","T",">75% -  100%"
"BC49771177","NA","NA","NA","F","0"
"BC49771181","5-25","5-25","5-25","F","0"
"BC49771182","NA","NA","NA","F","0"
"BC49771187","NA","NA","NA","F","0"
"BC49771188","NA","NA","NA","F","0"
"BC49771190","NA","NA","NA","F","0"
"BC49771192","5-25","<5","5-25","F","0"
"BC49771193","NA","NA","NA","F","0"
"BC49771194","NA","NA","NA","F","0"
"BC49771196","101-250","51-100","51-100","T",">75% -  100%"
"BC49771197","NA","NA","NA","F","0"
"BC49771198","501+","251-500","251-500","T",">75% -  100%"
"BC49771199","NA","NA","NA","F","0"
"BC49771200","NA","NA","NA","F","0"
"BC49771202","NA","NA","NA","F","0"
"BC49771203","NA","NA","NA","F","0"
"BC49771204","NA","NA","NA","F","0"
"BC49771205","101-250","51-100","101-250","F","0"
"BC49771206","5-25","<5","5-25","F","0"
"BC49771208","NA","NA","NA","F","0"
"BC49771209","NA","NA","NA","F","0"
"BC49771210","5-25","<5","5-25","F","0"
"BC49771212","NA","NA","NA","F","0"
"BC49771214","NA","NA","NA","F","0"
"BC49771216","NA","NA","NA","F","0"
"BC49771218","NA","NA","NA","F","0"
"BC49771222","51-100","5-25","5-25","F","0"
"BC49771229","NA","NA","NA","F","0"
"BC49771230","<5","<5","<5","F","0"
"BC49771232","501+","501+","501+","T",">75% -  100%"
"BC49771238","<5","<5","<5","F","0"
"BC49771239","5-25","<5","5-25","F","0"
"BC49771240","51-100","26-50","51-100","F","0"
"BC49771241","5-25","<5","<5","F","0"
"BC49771243","26-50","5-25","5-25","F",">50% - 75%"
"BC49771244","501+","501+","501+","T",">75% -  100%"
"BC49771245","NA","NA","NA","F","0"
"BC49771246","26-50","5-25","5-25","F","0"
"BC49771250","501+","251-500","501+","T",">75% -  100%"
"BC49771251","501+","251-500","251-500","T",">0% - 25%"
"BC49771252","NA","NA","NA","F","0"
"BC49771261","501+","501+","501+","T",">75% -  100%"
"BC49801148","NA","NA","NA","F","0"
"BC49801149","101-250","51-100","51-100","F",">0% - 25%"
"BC49801156","5-25","5-25","26-50","F","0"
"BC49801158","251-500","101-250","251-500","T",">75% -  100%"
"BC49801159","NA","NA","NA","F","0"
"BC49801165","NA","NA","NA","F","0"
"BC49801166","NA","NA","NA","F","0"
"BC49801168","26-50","5-25","26-50","T","0"
"BC49801170","NA","NA","NA","F","0"
"BC49801172","NA","NA","NA","F","0"
"BC49801173","NA","NA","NA","F","0"
"BC49801174","5-25","<5","<5","T","0"
"BC49801176","NA","NA","NA","F","0"
"BC49801180","<5","<5","<5","F","0"
"BC49801182","101-250","101-250","101-250","F","0"
"BC49801188","NA","NA","NA","F","0"
"BC49801190","NA","NA","NA","F","0"
"BC49801191","NA","NA","NA","F","0"
"BC49801193","NA","NA","NA","F","0"
"BC49801194","26-50","5-25","5-25","T",">75% -  100%"
"BC49801195","501+","501+","501+","T",">75% -  100%"
"BC49801196","501+","501+","501+","T",">75% -  100%"
"BC49801197","501+","501+","501+","T",">75% -  100%"
"BC49801199","5-25","<5","<5","F","0"
"BC49801200","NA","NA","NA","F","0"
"BC49801201","NA","NA","NA","F","0"
"BC49801202","NA","NA","NA","F","0"
"BC49801203","NA","NA","NA","F","0"
"BC49801205","NA","NA","NA","F","0"
"BC49801206","<5","<5","<5","F","0"
"BC49801207","<5","<5","<5","F","0"
"BC49801208","NA","NA","NA","F","0"
"BC49801209","NA","NA","NA","F","0"
"BC49801213","NA","NA","NA","F","0"
"BC49801214","<5","<5","<5","T","0"
"BC49801215","NA","NA","NA","F","0"
"BC49801217","NA","NA","NA","F","0"
"BC49801220","NA","NA","NA","F","0"
"BC49801221","NA","NA","NA","F","0"
"BC49801231","<5","<5","<5","T","0"
"BC49801232","NA","NA","NA","F","0"
"BC49801237","NA","NA","NA","F","0"
"BC49801238","5-25","<5","5-25","F","0"
"BC49801242","51-100","5-25","5-25","F","0"
"BC49801243","101-250","51-100","51-100","T",">75% -  100%"
"BC49801244","501+","251-500","251-500","T",">75% -  100%"
"BC49801246","51-100","5-25","5-25","T",">75% -  100%"
"BC49801250","501+","501+","501+","T",">75% -  100%"
"BC49801252","101-250","26-50","26-50","T",">0% - 25%"
"BC49801253","NA","NA","NA","F","0"
"BC49801260","NA","NA","NA","F","0"
"BC49801270","NA","NA","NA","F","0"
"BC49821149","NA","NA","NA","F","0"
"BC49821157","5-25","<5","<5","F","0"
"BC49821158","NA","NA","NA","F","0"
"BC49821164","NA","NA","NA","F","0"
"BC49821168","NA","NA","NA","F","0"
"BC49821169","101-250","51-100","101-250","T",">75% -  100%"
"BC49821170","5-25","<5","<5","F","0"
"BC49821171","NA","NA","NA","F","0"
"BC49821173","NA","NA","NA","F","0"
"BC49821174","NA","NA","NA","F","0"
"BC49821181","5-25","5-25","5-25","F","0"
"BC49821182","NA","NA","NA","F","0"
"BC49821187","NA","NA","NA","F","0"
"BC49821191","5-25","<5","<5","F","0"
"BC49821192","<5","<5","<5","F","0"
"BC49821193","NA","NA","NA","F","0"
"BC49821194","501+","501+","501+","T",">75% -  100%"
"BC49821196","501+","501+","501+","T",">75% -  100%"
"BC49821197","501+","501+","501+","T",">75% -  100%"
"BC49821198","101-250","26-50","51-100","T",">75% -  100%"
"BC49821199","NA","NA","NA","F","0"
"BC49821200","NA","NA","NA","F","0"
"BC49821202","NA","NA","NA","F","0"
"BC49821203","NA","NA","NA","F","0"
"BC49821204","NA","NA","NA","F","0"
"BC49821205","NA","NA","NA","F","0"
"BC49821206","5-25","<5","<5","F","0"
"BC49821208","NA","NA","NA","F","0"
"BC49821209","26-50","5-25","26-50","F","0"
"BC49821210","<5","<5","<5","F","0"
"BC49821214","NA","NA","NA","F","0"
"BC49821215","NA","NA","NA","F","0"
"BC49821216","NA","NA","NA","F","0"
"BC49821222","NA","NA","NA","F","0"
"BC49821232","101-250","51-100","51-100","F","0"
"BC49821241","26-50","5-25","5-25","F","0"
"BC49821243","5-25","5-25","5-25","F","0"
"BC49821244","26-50","5-25","5-25","F",">25% - 50%"
"BC49821245","501+","501+","501+","T",">75% -  100%"
"BC49821246","<5","<5","<5","T","0"
"BC49821251","501+","251-500","251-500","T",">75% -  100%"
"BC49821252","NA","NA","NA","F","0"
"BC49821253","NA","NA","NA","F","0"
"BC49821256","NA","NA","NA","F","0"
"BC49821259","NA","NA","NA","F","0"
"BC49821261","101-250","51-100","51-100","F","0"
"BC49821267","<5","<5","<5","F","0"
"BC49851148","NA","NA","NA","F","0"
"BC49851149","101-250","26-50","51-100","T","0"
"BC49851150","NA","NA","NA","F","0"
"BC49851155","NA","NA","NA","F","0"
"BC49851156","5-25","<5","5-25","F","0"
"BC49851158","51-100","26-50","26-50","T","0"
"BC49851165","NA","NA","NA","F","0"
"BC49851168","<5","<5","<5","F","0"
"BC49851171","NA","NA","NA","F","0"
"BC49851173","NA","NA","NA","F","0"
"BC49851174","NA","NA","NA","F","0"
"BC49851180","5-25","5-25","5-25","T","0"
"BC49851182","51-100","26-50","26-50","F","0"
"BC49851183","NA","NA","NA","F","0"
"BC49851190","NA","NA","NA","F","0"
"BC49851191","101-250","51-100","51-100","T",">25% - 50%"
